id,categoria,pregunta,articulo_referencia,respuesta,chunks_utilizados,tiempo_respuesta_seg,nivel_confianza,notas
1,Admisión y Contratación,¿Qué documentos debo presentar para aplicar a un cargo en PLASTITEC?,Art. 2,,,,,
2,Admisión y Contratación,¿Puede la empresa pedirme prueba de embarazo al momento de la admisión?,"Art. 2, Párr. 1",,,,,
3,Admisión y Contratación,¿Qué pruebas psicotécnicas o psicológicas me pueden aplicar en el proceso de selección?,"Art. 2, Párr. 2",,,,,
4,Admisión y Contratación,¿Cuál es la duración máxima de un contrato a término fijo en PLASTITEC?,Art. 3,,,,,
5,Admisión y Contratación,¿Qué pasa si el contrato a término fijo no se renueva por escrito antes de vencer?,Art. 3,,,,,
6,Admisión y Contratación,¿En qué consiste el contrato por obra o labor y cuándo termina?,Art. 5,,,,,
7,Admisión y Contratación,¿Cuánto tiempo puede durar el período de prueba?,Art. 8,,,,,
8,Admisión y Contratación,¿Puedo ser despedido durante el período de prueba sin previo aviso?,Art. 9,,,,,
9,Admisión y Contratación,¿Tengo derecho a prestaciones sociales durante el período de prueba?,Art. 9,,,,,
10,Admisión y Contratación,¿Puede la empresa exigirme la libreta militar para contratarme?,"Art. 2, Párr. 1",,,,,
11,Contrato de Aprendizaje,¿Qué es el contrato de aprendizaje y cuánto puede durar?,Art. 10,,,,,
12,Contrato de Aprendizaje,¿Cuánto dinero recibe un aprendiz durante la fase lectiva y práctica?,Art. 10,,,,,
13,Contrato de Aprendizaje,¿Cuántos aprendices está obligada a vincular PLASTITEC según su número de trabajadores?,Art. 13,,,,,
14,Contrato de Aprendizaje,¿Qué pasa si la empresa no contrata el número mínimo de aprendices requerido?,Art. 14,,,,,
15,Contrato de Aprendizaje,¿Puede PLASTITEC contratar como aprendiz a alguien que ya trabajó en la empresa?,"Art. 15, Párr.",,,,,
16,Jornada Laboral,¿Cuál es el horario de trabajo del personal administrativo en PLASTITEC?,Art. 22,,,,,
17,Jornada Laboral,¿A qué hora termina la jornada los viernes para el personal administrativo horario dos?,Art. 22,,,,,
18,Jornada Laboral,¿Cuántas horas semanales se trabajan actualmente en PLASTITEC según la reducción gradual de jornada?,"Art. 22, Párr. 4",,,,,
19,Jornada Laboral,¿Puede la empresa cambiarme el turno de trabajo sin mi consentimiento?,"Art. 22, Párr. 1",,,,,
20,Jornada Laboral,¿Cuántas horas extras puedo trabajar máximo al día y a la semana?,Art. 30,,,,,
21,Jornada Laboral,¿Me pagan horas extras si las hago sin autorización de la empresa?,Art. 33,,,,,
22,Jornada Laboral,¿Cuál es el recargo por trabajar horas extras diurnas?,Art. 32,,,,,
23,Jornada Laboral,¿Cuál es el recargo por trabajar horas extras nocturnas?,Art. 32,,,,,
24,Jornada Laboral,¿Desde qué hora se considera trabajo nocturno según la Ley 2466 de 2025?,Art. 28,,,,,
25,Jornada Laboral,¿Puedo quedarme en la empresa después de mi jornada sin que me paguen horas extras?,Art. 33,,,,,
26,Jornada Laboral,¿Tiene derecho un trabajador de turno a retirarse si no llega su reemplazo?,Art. 25,,,,,
27,Descansos y Festivos,¿Cuáles son los días festivos remunerados en Colombia reconocidos por el RIT?,Art. 34,,,,,
28,Descansos y Festivos,¿Con qué recargo se paga el trabajo en domingo o festivo desde julio de 2025?,"Art. 34, Párr. 3",,,,,
29,Descansos y Festivos,¿Qué pasa si la empresa cierra un día no festivo por decisión propia?,Art. 37,,,,,
30,Descansos y Festivos,¿Cuánto tiempo mínimo debe durar el descanso dominical?,Art. 36,,,,,
31,Descansos y Festivos,¿Puedo perder el pago del domingo si falto un día de la semana sin justificación?,Art. 26,,,,,
32,Descansos y Festivos,¿Puede el trabajador acordar con la empresa descansar el sábado en lugar del domingo?,"Art. 34, Párr. 3.1",,,,,
33,Descansos y Festivos,¿Con qué anticipación debe la empresa avisar que ciertos trabajadores deben laborar el domingo?,Art. 35,,,,,
34,Vacaciones,¿Cuántos días de vacaciones me corresponden después de un año de trabajo?,Art. 38,,,,,
35,Vacaciones,¿Con cuánta anticipación debe avisarme la empresa la fecha de mis vacaciones?,Art. 39,,,,,
36,Vacaciones,¿Puede la empresa obligarme a tomar vacaciones en una fecha específica?,Art. 39,,,,,
37,Vacaciones,¿Puedo acumular mis vacaciones de varios años?,Art. 42,,,,,
38,Vacaciones,¿Se pueden compensar en dinero las vacaciones no disfrutadas?,Art. 41,,,,,
39,Vacaciones,¿Qué salario recibo durante mis vacaciones?,Art. 43,,,,,
40,Vacaciones,¿Pierdo mis vacaciones si se interrumpen por una enfermedad durante el disfrute?,Art. 40,,,,,
41,Permisos y Licencias,¿Para qué situaciones me puede conceder permisos la empresa obligatoriamente?,Art. 45,,,,,
